movie_id,title,original_title,release_date,budget,revenue,vote_average,runtime,release_year,release_month,director_id,director_original_name,cast_ids,cast_original_names
296131,그녀가 부른다,그녀가 부른다,2013-12-26,0,0,5.0,97,2013.0,12.0,1134991,Park Eun-hyung,117504|980289|235022|1294797|2119921,윤진서|오민석|Lee Bong-gyu|김민상|문희라
296372,미조,미조,2014-10-02,0,0,4.7,72,2014.0,10.0,1371835,Nam Gee-woong,1371836|1164030|227422|1621347|1371841,Lee Hyo|Yoon Dong-hwan|Sin So-mi|Lee Jung-yong|Lee Do-hyeon
296633,제보자,제보자,2014-10-02,0,0,7.3,113,2014.0,10.0,120643,임순례,21687|231476|587675|79574|143541,박해일|이경영|유연석|박원상|류현경
296711,레쓰링,레쓰링,2014-09-11,0,0,4.4,85,2014.0,9.0,138507,Kim Ho-joon,1619316|62332|1423541|1429777|1682952,강은비|최성국|Ha Na-kyeong|Jo Byung-Gi|Ko Yi-Geon
296713,짓,짓,2013-09-25,150000,0,5.3,108,2013.0,9.0,1426631,한종훈,118667|231480|1442580|571168|140323,김희정|서태화|Seo Eun-ah|Kwak Min-ho|Oh Seong-tae
296715,바리새인,바리새인,2014-09-25,0,0,4.2,76,2014.0,9.0,1372518,Jeong Yeong-bae,1334549|1468490|1468497|1903212|2003998,Ye Hak-young|Kang Eun-hye|Cho Min-ah|Ko Jeong-il|Ha Tae-sung
296769,꿈보다 해몽,꿈보다 해몽,2014-10-04,0,0,5.3,99,2014.0,10.0,1021451,이광국,80461|1372475|1372476|564849|25003,유준상|신동미|김강현|서영화|김태우
296783,방울토마토,방울토마토,2008-05-28,0,0,5.0,102,2008.0,5.0,1372518,Jeong Yeong-bae,96632|1128106|232034,신구|김향기|김영호
297132,Про Любовь,Про Любовь,2006-04-29,0,0,6.0,37,2006.0,4.0,589264,Darezhan Omirbayev,1373083|1373084|1373085,Ainur Turgambayeva|Kairat Machmetov|Kanat Kuantay
297267,어린 왕자,어린 왕자,2008-01-17,0,0,0.0,92,2008.0,1.0,936001,Choi Jong-hyeon,230363|1251233|129614|79574|1372475,탁재훈|Kang Soo Han|조안|박원상|신동미
297292,패션왕,패션왕,2014-11-06,0,0,6.5,127,2014.0,11.0,117498,Oh Ki-hwan,929574|125736|1351550|1255414|147505,주원|설리|안재현|박세영|김성오
297400,소셜포비아,소셜포비아,2015-03-12,0,0,7.5,102,2015.0,3.0,1373774,Hong Seok-jae,1337780|1134769|1530733|1579819|1709230,변요한|이주승|류준열|하윤경|박근록
297558,나의 사랑 나의 신부,나의 사랑 나의 신부,2014-10-08,0,0,6.921,110,2014.0,10.0,119495,임찬상,116175|1223316|138112|573794|980225,신민아|조정석|윤정희|배성우|라미란
